frequency_Hz,H_V_real,H_V_imag,H_V_magnitude,H_V_phase_rad,Zin_real_ohm,Zin_imag_ohm,Yin_real_S,Yin_imag_S
2.120000000000e+08,3.788147261843e-03,-6.991270681066e-04,3.852121277266e-03,-1.825028750199e-01,1.979951413405e+01,-3.036694605784e+02,2.138011110179e-04,3.279114205241e-03
2.125000000000e+08,3.845621279537e-03,-8.044671359274e-04,3.928863754117e-03,-2.062166839189e-01,1.997134274075e+01,-3.021468237848e+02,2.178100498204e-04,3.295252382173e-03
2.130000000000e+08,3.898200180327e-03,-9.126758752205e-04,4.003616102863e-03,-2.299849650617e-01,2.014040846064e+01,-3.006331714819e+02,2.218450180095e-04,3.311450781745e-03
2.135000000000e+08,3.945788809949e-03,-1.023353678309e-03,4.076334393009e-03,-2.537622901988e-01,2.030642598672e+01,-2.991281037541e+02,2.259031260160e-04,3.327713786832e-03
2.140000000000e+08,3.988327747072e-03,-1.136100550284e-03,4.146984769495e-03,-2.775063087514e-01,2.046914512313e+01,-2.976312060077e+02,2.299818137578e-04,3.344046083840e-03
2.145000000000e+08,4.025792826066e-03,-1.250519169515e-03,4.215543389852e-03,-3.011774202617e-01,2.062835119886e+01,-2.961420520149e+02,2.340788707904e-04,3.360452634383e-03
2.150000000000e+08,4.058194408776e-03,-1.366217868087e-03,4.281996394499e-03,-3.247384924661e-01,2.078386524656e+01,-2.946602069290e+02,2.381924539118e-04,3.376938645722e-03
2.155000000000e+08,4.085576415163e-03,-1.482813512173e-03,4.346339903416e-03,-3.481546201851e-01,2.093554395202e+01,-2.931852302549e+02,2.423211021534e-04,3.393509540199e-03
2.160000000000e+08,4.108015124229e-03,-1.599934263416e-03,4.408580033089e-03,-3.713929209014e-01,2.108327938057e+01,-2.917166787601e+02,2.464637491054e-04,3.410170923886e-03
2.165000000000e+08,4.125617758139e-03,-1.717222203561e-03,4.468732928099e-03,-3.944223635033e-01,2.122699848735e+01,-2.902541093125e+02,2.506197325467e-04,3.426928554681e-03
2.170000000000e+08,4.138520863798e-03,-1.834335805935e-03,4.526824802113e-03,-4.172136271948e-01,2.136666241963e+01,-2.887970816276e+02,2.547888013666e-04,3.443788310076e-03
2.175000000000e+08,4.146888507346e-03,-1.950952238724e-03,4.582891983250e-03,-4.397389880283e-01,2.150226562009e+01,-2.873451609144e+02,2.589711197873e-04,3.460756154827e-03
2.180000000000e+08,4.150910298144e-03,-2.066769486565e-03,4.636980958969e-03,-4.619722309001e-01,2.163383474089e+01,-2.858979204043e+02,2.631672689116e-04,3.477838108752e-03
